clienteid,idade,renda_anual,email,Cluster
7,75,63534.0,cliente7@exemplo.com,0
10,62,91760.0,cliente10@exemplo.com,0
12,52,98436.0,cliente12@exemplo.com,0
13,18,200698.0,cliente13@exemplo.com,0
14,69,88917.0,cliente14@exemplo.com,0
15,59,64749.0,cliente15@exemplo.com,0
16,71,68607.0,cliente16@exemplo.com,0
18,64,97066.0,cliente18@exemplo.com,0
23,55,95170.0,cliente23@exemplo.com,0
24,65,76624.0,cliente24@exemplo.com,0
26,71,61074.0,cliente26@exemplo.com,0
28,68,78767.0,cliente28@exemplo.com,0
30,60,71442.0,cliente30@exemplo.com,0
31,53,97221.0,cliente31@exemplo.com,0
34,69,61557.0,cliente34@exemplo.com,0
38,64,72862.0,cliente38@exemplo.com,0
39,60,65977.0,cliente39@exemplo.com,0
41,62,63244.0,cliente41@exemplo.com,0
46,54,78666.0,cliente46@exemplo.com,0
48,74,84940.0,cliente48@exemplo.com,0
53,61,73477.0,cliente53@exemplo.com,0
54,74,66505.0,cliente54@exemplo.com,0
56,57,69932.0,cliente56@exemplo.com,0
57,73,82358.0,cliente57@exemplo.com,0
60,54,99105.0,cliente60@exemplo.com,0
61,77,87991.0,cliente61@exemplo.com,0
65,51,76200.0,cliente65@exemplo.com,0
66,51,95839.0,cliente66@exemplo.com,0
67,72,69079.0,cliente67@exemplo.com,0
72,62,88887.0,cliente72@exemplo.com,0
74,72,98682.0,cliente74@exemplo.com,0
78,52,89408.0,cliente78@exemplo.com,0
80,65,73327.0,cliente80@exemplo.com,0
81,63,98151.0,cliente81@exemplo.com,0
85,78,73331.0,cliente85@exemplo.com,0
86,60,69232.0,cliente86@exemplo.com,0
87,51,87902.0,cliente87@exemplo.com,0
90,76,87493.0,cliente90@exemplo.com,0
93,79,65761.0,cliente93@exemplo.com,0
94,56,86329.0,cliente94@exemplo.com,0
95,80,64676.0,cliente95@exemplo.com,0
98,54,98342.0,cliente98@exemplo.com,0
99,63,76198.0,cliente99@exemplo.com,0
100,67,81288.0,cliente100@exemplo.com,0
101,53,70050.0,cliente101@exemplo.com,0
104,75,64588.0,cliente104@exemplo.com,0
105,79,70362.0,cliente105@exemplo.com,0
106,59,74229.0,cliente106@exemplo.com,0
107,66,64896.0,cliente107@exemplo.com,0
108,60,92906.0,cliente108@exemplo.com,0
109,78,79103.0,cliente109@exemplo.com,0
111,63,67017.0,cliente111@exemplo.com,0
113,50,84400.0,cliente113@exemplo.com,0
114,78,77682.0,cliente114@exemplo.com,0
119,50,97720.0,cliente119@exemplo.com,0
120,71,96372.0,cliente120@exemplo.com,0
121,55,76133.0,cliente121@exemplo.com,0
124,61,62245.0,cliente124@exemplo.com,0
125,56,92083.0,cliente125@exemplo.com,0
127,60,95943.0,cliente127@exemplo.com,0
130,62,94609.0,cliente130@exemplo.com,0
131,68,94482.0,cliente131@exemplo.com,0
132,79,60838.0,cliente132@exemplo.com,0
134,79,63407.0,cliente134@exemplo.com,0
135,77,93597.0,cliente135@exemplo.com,0
136,69,94998.0,cliente136@exemplo.com,0
138,57,84217.0,cliente138@exemplo.com,0
139,66,88325.0,cliente139@exemplo.com,0
142,62,63927.0,cliente142@exemplo.com,0
144,77,84591.0,cliente144@exemplo.com,0
146,76,97320.0,cliente146@exemplo.com,0
147,59,61875.0,cliente147@exemplo.com,0
149,62,89193.0,cliente149@exemplo.com,0
154,79,88458.0,cliente154@exemplo.com,0
155,56,66805.0,cliente155@exemplo.com,0
158,52,90158.0,cliente158@exemplo.com,0
162,53,91953.0,cliente162@exemplo.com,0
164,72,79512.0,cliente164@exemplo.com,0
169,74,86314.0,cliente169@exemplo.com,0
171,58,91497.0,cliente171@exemplo.com,0
172,80,81707.0,cliente172@exemplo.com,0
173,50,80625.0,cliente173@exemplo.com,0
174,67,99512.0,cliente174@exemplo.com,0
176,76,88602.0,cliente176@exemplo.com,0
177,53,84546.0,cliente177@exemplo.com,0
178,58,95855.0,cliente178@exemplo.com,0
180,50,91444.0,cliente180@exemplo.com,0
181,78,65440.0,cliente181@exemplo.com,0
183,73,69545.0,cliente183@exemplo.com,0
184,64,86830.0,cliente184@exemplo.com,0
186,58,76079.0,cliente186@exemplo.com,0
195,69,99399.0,cliente195@exemplo.com,0
197,77,83431.0,cliente197@exemplo.com,0
199,68,64952.0,cliente199@exemplo.com,0
202,67,82692.0,cliente202@exemplo.com,0
204,50,94990.0,cliente204@exemplo.com,0
205,60,88000.0,cliente205@exemplo.com,0
209,79,89441.0,cliente209@exemplo.com,0
211,72,75348.0,cliente211@exemplo.com,0
212,64,60048.0,cliente212@exemplo.com,0
213,71,72633.0,cliente213@exemplo.com,0
214,64,80840.0,cliente214@exemplo.com,0
215,75,90950.0,cliente215@exemplo.com,0
217,73,64849.0,cliente217@exemplo.com,0
218,67,97127.0,cliente218@exemplo.com,0
220,74,93938.0,cliente220@exemplo.com,0
222,57,97005.0,cliente222@exemplo.com,0
226,68,68287.0,cliente226@exemplo.com,0
228,59,75196.0,cliente228@exemplo.com,0
229,57,77034.0,cliente229@exemplo.com,0
230,57,87208.0,cliente230@exemplo.com,0
233,59,89015.0,cliente233@exemplo.com,0
234,52,83705.0,cliente234@exemplo.com,0
238,61,85727.0,cliente238@exemplo.com,0
239,60,79733.0,cliente239@exemplo.com,0
242,78,79590.0,cliente242@exemplo.com,0
243,77,62037.0,cliente243@exemplo.com,0
244,67,68096.0,cliente244@exemplo.com,0
246,75,63154.0,cliente246@exemplo.com,0
247,74,74182.0,cliente247@exemplo.com,0
249,63,75900.0,cliente249@exemplo.com,0
250,73,96136.0,cliente250@exemplo.com,0
252,53,74281.0,cliente252@exemplo.com,0
253,56,84710.0,cliente253@exemplo.com,0
255,54,79399.0,cliente255@exemplo.com,0
260,55,77204.0,cliente260@exemplo.com,0
261,68,82855.0,cliente261@exemplo.com,0
262,60,98289.0,cliente262@exemplo.com,0
266,76,84848.0,cliente266@exemplo.com,0
268,60,87491.0,cliente268@exemplo.com,0
271,77,97015.0,cliente271@exemplo.com,0
275,53,90821.0,cliente275@exemplo.com,0
277,80,74666.0,cliente277@exemplo.com,0
278,78,68610.0,cliente278@exemplo.com,0
279,57,73070.0,cliente279@exemplo.com,0
281,77,95040.0,cliente281@exemplo.com,0
283,79,84489.0,cliente283@exemplo.com,0
284,71,64262.0,cliente284@exemplo.com,0
285,73,87359.0,cliente285@exemplo.com,0
286,50,85757.0,cliente286@exemplo.com,0
291,66,95609.0,cliente291@exemplo.com,0
294,66,72139.0,cliente294@exemplo.com,0
295,59,92915.0,cliente295@exemplo.com,0
300,63,61983.0,cliente300@exemplo.com,0
301,59,81740.0,cliente301@exemplo.com,0
304,69,99266.0,cliente304@exemplo.com,0
307,60,62872.0,cliente307@exemplo.com,0
311,58,77565.0,cliente311@exemplo.com,0
315,62,64921.0,cliente315@exemplo.com,0
319,72,84915.0,cliente319@exemplo.com,0
321,63,88703.0,cliente321@exemplo.com,0
323,59,80901.0,cliente323@exemplo.com,0
324,60,92120.0,cliente324@exemplo.com,0
327,56,66610.0,cliente327@exemplo.com,0
328,63,74229.0,cliente328@exemplo.com,0
329,56,88735.0,cliente329@exemplo.com,0
331,66,70894.0,cliente331@exemplo.com,0
332,52,77505.0,cliente332@exemplo.com,0
333,52,82831.0,cliente333@exemplo.com,0
335,67,86005.0,cliente335@exemplo.com,0
337,65,97653.0,cliente337@exemplo.com,0
338,63,69255.0,cliente338@exemplo.com,0
341,80,83971.0,cliente341@exemplo.com,0
342,71,97723.0,cliente342@exemplo.com,0
345,66,65290.0,cliente345@exemplo.com,0
347,56,67449.0,cliente347@exemplo.com,0
349,67,76378.0,cliente349@exemplo.com,0
350,79,87949.0,cliente350@exemplo.com,0
351,79,66053.0,cliente351@exemplo.com,0
352,80,77095.0,cliente352@exemplo.com,0
353,52,78475.0,cliente353@exemplo.com,0
355,69,76085.0,cliente355@exemplo.com,0
356,75,75361.0,cliente356@exemplo.com,0
357,62,88014.0,cliente357@exemplo.com,0
360,62,63436.0,cliente360@exemplo.com,0
363,78,88065.0,cliente363@exemplo.com,0
366,75,66953.0,cliente366@exemplo.com,0
367,80,92837.0,cliente367@exemplo.com,0
368,57,98875.0,cliente368@exemplo.com,0
371,78,77008.0,cliente371@exemplo.com,0
372,74,64474.0,cliente372@exemplo.com,0
375,73,93535.0,cliente375@exemplo.com,0
377,76,89904.0,cliente377@exemplo.com,0
385,71,98459.0,cliente385@exemplo.com,0
390,66,94076.0,cliente390@exemplo.com,0
392,64,98729.0,cliente392@exemplo.com,0
393,74,67920.0,cliente393@exemplo.com,0
394,65,68060.0,cliente394@exemplo.com,0
397,67,87728.0,cliente397@exemplo.com,0
399,51,97809.0,cliente399@exemplo.com,0
400,59,78997.0,cliente400@exemplo.com,0
402,66,82030.0,cliente402@exemplo.com,0
404,63,89942.0,cliente404@exemplo.com,0
405,58,66904.0,cliente405@exemplo.com,0
408,60,79873.0,cliente408@exemplo.com,0
409,56,91214.0,cliente409@exemplo.com,0
410,70,60547.0,cliente410@exemplo.com,0
414,69,86079.0,cliente414@exemplo.com,0
416,59,60394.0,cliente416@exemplo.com,0
417,79,61764.0,cliente417@exemplo.com,0
418,57,68350.0,cliente418@exemplo.com,0
419,59,91901.0,cliente419@exemplo.com,0
422,71,96851.0,cliente422@exemplo.com,0
424,54,86113.0,cliente424@exemplo.com,0
428,77,67694.0,cliente428@exemplo.com,0
430,65,60429.0,cliente430@exemplo.com,0
431,62,70152.0,cliente431@exemplo.com,0
432,65,78616.0,cliente432@exemplo.com,0
441,54,90946.0,cliente441@exemplo.com,0
442,67,62886.0,cliente442@exemplo.com,0
444,62,70820.0,cliente444@exemplo.com,0
445,71,60722.0,cliente445@exemplo.com,0
447,53,82011.0,cliente447@exemplo.com,0
450,69,91130.0,cliente450@exemplo.com,0
451,80,92243.0,cliente451@exemplo.com,0
452,74,70688.0,cliente452@exemplo.com,0
454,76,76049.0,cliente454@exemplo.com,0
456,53,98433.0,cliente456@exemplo.com,0
459,55,88674.0,cliente459@exemplo.com,0
461,79,64751.0,cliente461@exemplo.com,0
463,66,80801.0,cliente463@exemplo.com,0
464,77,76052.0,cliente464@exemplo.com,0
465,64,76103.0,cliente465@exemplo.com,0
468,59,82987.0,cliente468@exemplo.com,0
471,68,88697.0,cliente471@exemplo.com,0
472,64,83884.0,cliente472@exemplo.com,0
474,71,92239.0,cliente474@exemplo.com,0
475,74,81559.0,cliente475@exemplo.com,0
479,74,73175.0,cliente479@exemplo.com,0
482,67,74335.0,cliente482@exemplo.com,0
485,73,82811.0,cliente485@exemplo.com,0
486,61,97929.0,cliente486@exemplo.com,0
488,65,74011.0,cliente488@exemplo.com,0
489,77,83759.0,cliente489@exemplo.com,0
490,72,66299.0,cliente490@exemplo.com,0
495,68,83677.0,cliente495@exemplo.com,0
496,76,89543.0,cliente496@exemplo.com,0
497,76,85110.0,cliente497@exemplo.com,0
498,64,64222.0,cliente498@exemplo.com,0
503,79,73659.0,cliente503@exemplo.com,0
505,76,66733.0,cliente505@exemplo.com,0
507,74,96740.0,cliente507@exemplo.com,0
508,60,84990.0,cliente508@exemplo.com,0
510,70,92286.0,cliente510@exemplo.com,0
514,59,84772.0,cliente514@exemplo.com,0
517,67,71842.0,cliente517@exemplo.com,0
518,61,72696.0,cliente518@exemplo.com,0
523,70,65186.0,cliente523@exemplo.com,0
527,78,99967.0,cliente527@exemplo.com,0
529,63,85246.0,cliente529@exemplo.com,0
531,59,84292.0,cliente531@exemplo.com,0
535,74,73127.0,cliente535@exemplo.com,0
540,55,75580.0,cliente540@exemplo.com,0
541,71,82380.0,cliente541@exemplo.com,0
542,67,69833.0,cliente542@exemplo.com,0
544,63,67359.0,cliente544@exemplo.com,0
546,66,93444.0,cliente546@exemplo.com,0
547,80,87896.0,cliente547@exemplo.com,0
551,67,83974.0,cliente551@exemplo.com,0
552,66,71504.0,cliente552@exemplo.com,0
554,57,90528.0,cliente554@exemplo.com,0
556,69,60377.0,cliente556@exemplo.com,0
559,72,60193.0,cliente559@exemplo.com,0
560,73,84579.0,cliente560@exemplo.com,0
562,56,79028.0,cliente562@exemplo.com,0
563,80,66165.0,cliente563@exemplo.com,0
564,60,92993.0,cliente564@exemplo.com,0
565,77,81713.0,cliente565@exemplo.com,0
566,50,74242.0,cliente566@exemplo.com,0
567,52,88907.0,cliente567@exemplo.com,0
568,72,95694.0,cliente568@exemplo.com,0
570,57,83540.0,cliente570@exemplo.com,0
571,78,80739.0,cliente571@exemplo.com,0
577,79,83724.0,cliente577@exemplo.com,0
579,51,81835.0,cliente579@exemplo.com,0
583,68,81186.0,cliente583@exemplo.com,0
584,52,98671.0,cliente584@exemplo.com,0
590,62,87927.0,cliente590@exemplo.com,0
597,75,60737.0,cliente597@exemplo.com,0
598,64,81335.0,cliente598@exemplo.com,0
600,71,60451.0,cliente600@exemplo.com,0
603,77,74322.0,cliente603@exemplo.com,0
607,58,83476.0,cliente607@exemplo.com,0
609,50,99380.0,cliente609@exemplo.com,0
612,63,87420.0,cliente612@exemplo.com,0
613,72,77689.0,cliente613@exemplo.com,0
615,77,89964.0,cliente615@exemplo.com,0
616,52,96800.0,cliente616@exemplo.com,0
618,71,97019.0,cliente618@exemplo.com,0
619,61,63151.0,cliente619@exemplo.com,0
621,72,85155.0,cliente621@exemplo.com,0
622,72,71885.0,cliente622@exemplo.com,0
623,77,81263.0,cliente623@exemplo.com,0
631,64,83784.0,cliente631@exemplo.com,0
634,80,81161.0,cliente634@exemplo.com,0
637,75,61487.0,cliente637@exemplo.com,0
638,76,84023.0,cliente638@exemplo.com,0
644,56,71762.0,cliente644@exemplo.com,0
645,63,62525.0,cliente645@exemplo.com,0
646,76,83906.0,cliente646@exemplo.com,0
648,75,62903.0,cliente648@exemplo.com,0
649,62,80012.0,cliente649@exemplo.com,0
654,75,93724.0,cliente654@exemplo.com,0
655,58,61824.0,cliente655@exemplo.com,0
656,61,82977.0,cliente656@exemplo.com,0
662,78,95016.0,cliente662@exemplo.com,0
663,50,85051.0,cliente663@exemplo.com,0
664,78,99653.0,cliente664@exemplo.com,0
666,59,89284.0,cliente666@exemplo.com,0
668,80,82785.0,cliente668@exemplo.com,0
671,53,87791.0,cliente671@exemplo.com,0
673,70,79755.0,cliente673@exemplo.com,0
675,64,95860.0,cliente675@exemplo.com,0
681,71,78685.0,cliente681@exemplo.com,0
682,67,80230.0,cliente682@exemplo.com,0
684,51,86488.0,cliente684@exemplo.com,0
686,57,82995.0,cliente686@exemplo.com,0
687,60,97827.0,cliente687@exemplo.com,0
688,56,66610.0,cliente688@exemplo.com,0
689,57,69640.0,cliente689@exemplo.com,0
691,58,85682.0,cliente691@exemplo.com,0
696,73,71877.0,cliente696@exemplo.com,0
698,68,75426.0,cliente698@exemplo.com,0
700,76,86705.0,cliente700@exemplo.com,0
703,77,86153.0,cliente703@exemplo.com,0
704,72,89847.0,cliente704@exemplo.com,0
707,77,61670.0,cliente707@exemplo.com,0
709,64,61028.0,cliente709@exemplo.com,0
710,70,87624.0,cliente710@exemplo.com,0
711,68,67337.0,cliente711@exemplo.com,0
712,78,69841.0,cliente712@exemplo.com,0
715,72,60162.0,cliente715@exemplo.com,0
717,72,93707.0,cliente717@exemplo.com,0
718,79,96573.0,cliente718@exemplo.com,0
719,73,78185.0,cliente719@exemplo.com,0
721,50,99326.0,cliente721@exemplo.com,0
725,66,91243.0,cliente725@exemplo.com,0
728,65,68842.0,cliente728@exemplo.com,0
729,78,72690.0,cliente729@exemplo.com,0
731,53,82428.0,cliente731@exemplo.com,0
732,76,72923.0,cliente732@exemplo.com,0
733,73,76500.0,cliente733@exemplo.com,0
735,76,61297.0,cliente735@exemplo.com,0
740,78,83131.0,cliente740@exemplo.com,0
742,78,68693.0,cliente742@exemplo.com,0
743,72,92365.0,cliente743@exemplo.com,0
744,69,60728.0,cliente744@exemplo.com,0
746,79,91016.0,cliente746@exemplo.com,0
748,51,73326.0,cliente748@exemplo.com,0
749,53,96139.0,cliente749@exemplo.com,0
754,70,72533.0,cliente754@exemplo.com,0
760,52,88494.0,cliente760@exemplo.com,0
761,61,81070.0,cliente761@exemplo.com,0
763,70,66546.0,cliente763@exemplo.com,0
764,55,82133.0,cliente764@exemplo.com,0
767,53,94959.0,cliente767@exemplo.com,0
769,74,87956.0,cliente769@exemplo.com,0
774,54,69632.0,cliente774@exemplo.com,0
776,71,71351.0,cliente776@exemplo.com,0
778,57,85746.0,cliente778@exemplo.com,0
779,64,60007.0,cliente779@exemplo.com,0
781,61,76862.0,cliente781@exemplo.com,0
782,66,81038.0,cliente782@exemplo.com,0
