clienteid,idade,renda_anual,email
1,39,56959.0,cliente1@exemplo.com
2,39,50349.0,cliente2@exemplo.com
3,19,31732.0,cliente3@exemplo.com
4,49,63959.0,cliente4@exemplo.com
5,34,54072.0,cliente5@exemplo.com
6,38,49365.0,cliente6@exemplo.com
7,75,63534.0,cliente7@exemplo.com
8,55,62371.0,cliente8@exemplo.com
9,27,34348.0,cliente9@exemplo.com
10,62,91760.0,cliente10@exemplo.com
11,46,68738.0,cliente11@exemplo.com
12,52,98436.0,cliente12@exemplo.com
13,18,200698.0,cliente13@exemplo.com
14,69,88917.0,cliente14@exemplo.com
15,59,64749.0,cliente15@exemplo.com
16,71,68607.0,cliente16@exemplo.com
17,35,51872.0,cliente17@exemplo.com
18,64,97066.0,cliente18@exemplo.com
19,30,46077.0,cliente19@exemplo.com
20,19,29262.0,cliente20@exemplo.com
21,35,40286.0,cliente21@exemplo.com
22,23,28845.0,cliente22@exemplo.com
23,55,95170.0,cliente23@exemplo.com
24,65,76624.0,cliente24@exemplo.com
25,25,35074.0,cliente25@exemplo.com
26,71,61074.0,cliente26@exemplo.com
27,26,39860.0,cliente27@exemplo.com
28,68,78767.0,cliente28@exemplo.com
29,40,67787.0,cliente29@exemplo.com
30,60,71442.0,cliente30@exemplo.com
31,53,97221.0,cliente31@exemplo.com
32,31,42086.0,cliente32@exemplo.com
33,22,22766.0,cliente33@exemplo.com
34,69,61557.0,cliente34@exemplo.com
35,21,36959.0,cliente35@exemplo.com
36,19,27299.0,cliente36@exemplo.com
37,22,35137.0,cliente37@exemplo.com
38,64,72862.0,cliente38@exemplo.com
39,60,65977.0,cliente39@exemplo.com
40,37,57150.0,cliente40@exemplo.com
41,62,63244.0,cliente41@exemplo.com
42,37,68336.0,cliente42@exemplo.com
43,22,31496.0,cliente43@exemplo.com
44,54,60879.0,cliente44@exemplo.com
45,30,67383.0,cliente45@exemplo.com
46,54,78666.0,cliente46@exemplo.com
47,46,48924.0,cliente47@exemplo.com
48,74,84940.0,cliente48@exemplo.com
49,34,49005.0,cliente49@exemplo.com
50,45,59701.0,cliente50@exemplo.com
51,49,43767.0,cliente51@exemplo.com
52,30,47067.0,cliente52@exemplo.com
53,61,73477.0,cliente53@exemplo.com
54,74,66505.0,cliente54@exemplo.com
55,40,43451.0,cliente55@exemplo.com
56,57,69932.0,cliente56@exemplo.com
57,73,82358.0,cliente57@exemplo.com
58,41,57235.0,cliente58@exemplo.com
59,35,61906.0,cliente59@exemplo.com
60,54,99105.0,cliente60@exemplo.com
61,77,87991.0,cliente61@exemplo.com
62,44,61321.0,cliente62@exemplo.com
63,32,47227.0,cliente63@exemplo.com
64,41,44131.0,cliente64@exemplo.com
