clienteid,idade,renda_anual,email,grupo
1,62,91920,cliente1@exemplo.com,1
2,65,69530,cliente2@exemplo.com,2
3,71,73366,cliente3@exemplo.com,1
4,18,56947,cliente4@exemplo.com,2
5,21,53449,cliente5@exemplo.com,2
6,77,62115,cliente6@exemplo.com,2
7,21,68530,cliente7@exemplo.com,2
8,57,12098,cliente8@exemplo.com,0
9,27,47734,cliente9@exemplo.com,2
10,37,77604,cliente10@exemplo.com,1
11,39,82363,cliente11@exemplo.com,1
12,68,22918,cliente12@exemplo.com,0
13,54,48372,cliente13@exemplo.com,2
14,41,32893,cliente14@exemplo.com,0
15,24,87929,cliente15@exemplo.com,1
16,42,50642,cliente16@exemplo.com,2
17,42,99740,cliente17@exemplo.com,1
18,30,95110,cliente18@exemplo.com,1
19,76,24881,cliente19@exemplo.com,0
20,19,46741,cliente20@exemplo.com,2
21,56,41782,cliente21@exemplo.com,2
22,57,71185,cliente22@exemplo.com,1
23,41,75802,cliente23@exemplo.com,1
24,64,54038,cliente24@exemplo.com,2
25,42,80918,cliente25@exemplo.com,1
26,35,51574,cliente26@exemplo.com,2
27,55,55387,cliente27@exemplo.com,2
28,43,72834,cliente28@exemplo.com,1
29,31,94338,cliente29@exemplo.com,1
30,26,98754,cliente30@exemplo.com,1
31,27,37906,cliente31@exemplo.com,0
32,38,83036,cliente32@exemplo.com,1
33,69,18819,cliente33@exemplo.com,0
34,34,14485,cliente34@exemplo.com,0
35,69,98692,cliente35@exemplo.com,1
36,23,67525,cliente36@exemplo.com,2
37,80,45051,cliente37@exemplo.com,2
38,33,75323,cliente38@exemplo.com,1
39,65,21326,cliente39@exemplo.com,0
40,18,36956,cliente40@exemplo.com,0
41,36,57663,cliente41@exemplo.com,2
42,53,98652,cliente42@exemplo.com,1
43,42,59272,cliente43@exemplo.com,2
44,67,89634,cliente44@exemplo.com,1
45,69,57449,cliente45@exemplo.com,2
46,47,46444,cliente46@exemplo.com,2
47,37,63484,cliente47@exemplo.com,2
48,37,85881,cliente48@exemplo.com,1
49,32,21477,cliente49@exemplo.com,0
50,57,54550,cliente50@exemplo.com,2
51,50,95552,cliente51@exemplo.com,1
52,19,36152,cliente52@exemplo.com,0
